teochew,puj,mandarin,note
老鼠屎,ngiau2-tshv2-sai2,济公丹,
肉茸,nek8-jiong5,肉松,
肉卷,nek8-kng2,,
肉剉,nek8-tsho3,肉碎,
肉脞,nek8-tsho3,肉碎,
肉脯,nek8-pou2,,
猪肉脯,tv1-nek8-pou2,,
虾脯,he5-pou2,,
鱼干,hv5-kuann1,,
鱼脯,hv5-pou2,,
鱼饭,hv5-png7,,
咸鱼,kiam5-hv5,,
咸卵,kiam5-nng6,咸鸭蛋,
咸鸭卵,kiam5-ah4-nng6,咸鸭蛋,
凤凰茶,hong6-uang5-te5,,
单枞,tuann1-tsang5,,
铁观音,thih4-kuan1-im1,,
腐枝,hu7-ki1,腐竹,
豆干,tau7-kuann1,,豆腐干
烰豆干,phu5-tau7-kuann1,,油炸豆腐
香腐,hiang1-hu7,,豆腐干
豆腐,tau7-hu7,,
日本豆腐,jit8-png2 tau7-hu7,,
豆腐浆,tau7-hu7-tsionn1,豆浆,
豆浆,tau7-tsionn1,,
海霸王,hai2-pa3-uang5,,
杂咸,tsap8-kiam5,,
咸菜,kiam5-tshai3,,
贡菜,kong3-tshai3,,
冬菜,tang2-tshai3,,
橄榄菜,kann1-nann2-tshai3,梅菜,
贡腐,kong3-hu7,腌豆腐,
菜脯,tshai3-pou2,腌萝卜干,
菜脯麸,tshai3-pou2-hu1,碎腌萝卜干,
菜脯丝,tshai3-pou2-si1,腌萝卜丝,
菜脯卵,tshai3-pou2-nng6,萝卜干炒蛋,
菜头槁,tshai3-thau5-khau2,干腌萝卜条,
莲花峰茶,noinn5-hue1-hong1-te5,,
魔术油,mo5-sut8-iu5,,
活络油,uah8-lok8-iu5,,
风油精,huang1-iu5-tseng1,,
